author	aid	normdate	birth	death	raw	hasbirth	hasdeath	hasdates	estimate	place-birth	place-death	country-birth	continent-birth	first-name	preposition-name	second-name	gender	viafid	vf_bi	vf_de	vf_bi_esti	vf_de_esti	birth_diff	death_diff	vf_cand_n	auname_viaf	redo	match_type	vf_validation
López de Ayala, Pedro	008g	14.5	1332	1407	Vitoria. 1332 - Calahorra. 1407 Poeta y cronista español. Miembro del Consejo de Regencia. Fue un poeta religioso ya que estuvo de canónigo en Toledo y Palencia.	1	1	1	0	Vitoria	Calahorra	España	Europa	Pedro		López de Ayala	M	61540163	1332	1407	False	False	0	0	1	Pedro Lopez Ayala, 1332 1407	1	exact	high
Marqués de Santillana	178g	14.5	1398	1458	Carrión de los Condes (Palencia). 1398 - Guadalajara. 1458 El primer escritor español que escribe sonetos al «itálico modo».	1	1	1	0	Condes (Palencia)	Guadalajara	España	Europa	Marqués de Santillana			M	39642259	1398	1458	False	False	0	0	5	Marques Santillana, 1398 1458		exact	high
Dueñas, Juan de	133g	15	1400	1460	Dueñas. Palencia. 1400 - 1460 Poeta.	1	1	1	0	Dueñas		España	Europa	Juan	de	Dueñas	M	84080272		1460	False	False		0	10	Juan Duenas 1460		exact	high
Mena, Juan de	357g	15	1411	1456	Córdoba. 1411 - Torrelaguna (Santander). 1456 Poeta. Estudió en Salamanca y en Roma. Amigo del Marqués de Santillana.	1	1	1	0	Córdoba	Torrelaguna (Santander)	España	Europa	Juan	de	Mena	M	9862287	1411	1456	False	False	0	0	2	Juan Mena, 1411 1456		exact	high
Vadillo, Juan	213g	15	XV	XV	Español. Siglo XV	0	0	0	0	Español		España	Europa	Juan		Vadillo	M	47150030622810961187	1970		False	False	570		2	Juan Vadillo, 1970 		exact	medium
Castillejo, Cristóbal de	292g	15.5	1492	1550	Ciudad Rodrigo. 1492 - Viena. 1550 Monje. Poeta español.	1	1	1	0	Ciudad Rodrigo	Viena	España	Europa	Cristóbal	de	Castillejo	M	100165227	1494	1550	False	False	2	0	8	Cristobal Castillejo, 1494 1550		exact	high
Padilla, Juan de	391g	15.5	1468	1520	Sevilla. 1468 - 1520 Poeta y monje cartujo.	1	1	1	0	Sevilla		España	Europa	Juan	de	Padilla	M	30888521	16	16	False	False	32	20	9	Juan Padilla, 16.. 16		exact	high
Ribera, Juan de	017g	15.5	XV	XVI	Ronda (Málaga). Siglos XV - XVI Poeta.	0	0	0	0	Ronda (Málaga)		España	Europa	Juan	de	Ribera	M	25406668	1532	1611	False	False	132	111	8	Juan Ribera, sant, ca. 1532 1611	1	exact	medium
Torquemada, Luis de	180g	15.5	XV	XVI	España. Siglos XV - XVI Poeta.	0	0	0	0	España		España	Europa	Luis	de	Torquemada	M												medium
Villegas, Antonio de	267g	15.5	XV	XVI	Medina del Campo (Valladolid). Siglos ¿XV-XVI? Muere hacia 1551. Poeta y escritor.	0	0	0	1	Medina del Campo (Valladolid)		España	Europa	Antonio	de	Villegas	M	113786236	1522	1578	False	False	122	78	7	Antonio Villegas 1522 1578		exact	medium
Arias Montano, Benito	002g	16	1527	1598	Fregenal de la Sierra (Badajoz). 1527 - Sevilla. 1598 Humanista, eclesiástico de la Orden de Santiago. Fue director de la Biblioteca del Escorial en tiempo de Felipe II	1	1	1	0	Fregenal de la Sierra (Badajoz)	Sevilla	España	Europa	Benito		Arias Montano	M	7399844	1527	1598	False	False	0	0	2	Benito Arias Montano, 1527 1598	1	exact	high
Arteaga, Juana de	179g	16	XVI	XVI	Siglo XVI. Poeta de gran mérito en su tiempo.	0	0	0	0					Juana	de	Arteaga	F												medium
Austria, Carlos de	419g	16	1545	1568	Valladolid. 1545 - Madrid. 1568 Hijo de Felipe II y María de Portugal	1	1	1	0	Valladolid	Madrid	España	Europa	Carlos	de	Austria	M	267415897	1685	1740	False	False	140	172	10	Carlos Austria, 1685 1740		exact	medium
Barahona de Soto, Luis	392g	16	1548	1595	Lucena, 1548 - Antequera, 1595 Primeros estudios con el humanista Juan de Vilches. Estudia en Granada la carrera de Medicina y ejerce como tal en Archidona.	1	1	1	0	Lucena	Antequera	España	Europa	Luis		Barahona de Soto	M	51697972	1548	1595	True	False	0	0	6	Luis Barahona Soto, 1548? 1595		exact	high
Beneyto, Miguel	453g	16	1565	1599	Valencia. 1560 al 1565 - 1599 Escritor. Poeta y dramaturgo. Ocupó cargos relacionados con la gobernación de la Ciudad.	1	1	1	0	Valencia		España	Europa	Miguel		Beneyto	M	182363488	1560	1599	True	False	5	0	2	Miguel Beneyto 1560? 1599		exact	high
Bermúdez, Fray Jerónimo	214g	16	1530	1599	Orense. 1530 - Madrid. 1599 Dramaturgo. Poeta. Dominico. Profesor de Teología en Salamanca. Escribió bajo el seudónimo de Antonio de Silva su obra Nise laureada, que trataba de la vida de Inés de Castro.	1	1	1	0	Orense	Madrid	España	Europa	Fray Jerónimo		Bermúdez	M												medium
Bermúdez, Pedro	380g	16	XVI	XVI	España. Siglo XVI Poeta.	0	0	0	0	España		España	Europa	Pedro		Bermúdez	M	22347923	1558	1605	False	False	58	105	6	Pedro Bermudez 1558 1605		exact	high
Cabrera, Cristóbal	176g	16	XVI	XVI	España. Siglo XVI Poeta.	0	0	0	0	España		España	Europa	Cristóbal		Cabrera	M	88852710	1515	1598	False	False	15	98	6	Cristobal Cabrera 1515 1598		exact	high
Camoens, Luis de	048g	16	1524	1580	Lisboa. 1524 - 1580	1	1	1	0	Lisboa		Portugal	Europa	Luis	de	Camoens	M	34454091	1524	1580	False	False	0	0	4	Luis Camoens, 1524 1580	1	exact	high
Castellanos, Juan de	020g	16	1522	1540	Alanís. Sevilla. 1522 - Tunja. 1607 Historiador, escritor y poeta español. Se fue a América hacia 1540 y ordenado sacerdote. Su Elegías de Varones Ilustres aunque la inició en prosa, la acabó componiendo en verso.	1	1	1	0	Alanís	Tunja	España	Europa	Juan	de	Castellanos	M	61800896	1522	1605	False	False	0	65	3	Juan Castellanos, 1522 1605	1	exact	high
Castro y Andrade, Isabel de	478g	16	1516	1595	Monforte de Lemos. Lugo. 1516 - 1595 Perteneció a la Academia de Isabel Clara Eugenia en Madrid.	1	1	1	0	Monforte de Lemos		España	Europa	Isabel	de	Castro y Andrade	M	307512811	1528	1582	False	False	12	13	2	Isabel Castro y Andrade, 1528 1582		exact	high
Cervantes de Salazar, Francisco o Juan	379g	16	1518	1575	Toledo. 1518 - México. 1575 Historiador español. Rector de la Universidad de México.	1	1	1	0	Toledo	México	España	Europa	Francisco o Juan		Cervantes de Salazar	M												medium
Coba Machicao, Carlos de la	231g	16	XVI	XVI	Cuba. Siglo XVI Militar y regidor.	0	0	0	0	Cuba		Cuba	América	Carlos	de la	Coba Machicao	M												medium
Codínez, Felipe	363g	16	XVI	XVI	España. Siglo XVI Poeta y dramaturgo.	0	0	0	0	España		España	Europa	Felipe		Codínez	M												medium
Crespi de Valldaura, Francisco	334g	16	XVI	XVI	Valencia. Siglo XVI Poeta.	0	0	0	0	Valencia		España	Europa	Francisco		Crespi de Valldaura	M												medium
Cáncer y Velasco, Jerónimo	043g	16	XVI	XVI	Barcelona. Siglo XVI - 1655 Dramaturgo, escritor y poeta.	0	0	0	0	Barcelona		España	Europa	Jerónimo		Cáncer y Velasco	M	100174943	1599	1655	True	False	99	155	5	Jeronimo Cancer y Velasco 1599? 1655	1	exact	high
Córdoba, Sebastián de	341g	16	XVI	XVI	Vecino de Úbeda. Jaén. Siglo XVI Poeta y escritor.	0	0	0	0	Vecino de Úbeda		España	Europa	Sebastián	de	Córdoba	M	218289674								Sebastián de Córdoba			high
Duque de Osuna y Conde de Ureña	375g	16	1537	1590	Pedro Téllez Girón 1537 - 1590 Pedro Téllez Girón Osuna. Sevilla. 1574- Madrid. 1624 Hijo del anterior.	1	1	1	0	Sevilla	Madrid	España	Europa	Duque de Osuna y Conde de Ureña			M												medium
Díaz de Ribas, Pedro	119g	16	XVI	XVI	España. Siglo XVI Poeta.	0	0	0	0	España		España	Europa	Pedro		Díaz de Ribas	M	51490799	1587	1653	False	True	87	153	2	Pedro Diaz Ribas 1587 1653?		exact	high
Enríquez de Guzmán, Feliciana	317g	16	XVI	XVI	Sevilla. Siglo XVI	0	0	0	0	Sevilla		España	Europa	Feliciana		Enríquez de Guzmán	F	79065684	1569	1644	False	False	69	144	6	Feliciana Enriquez Guzman 1569 1644		exact	high
Estazo, Baltasar de	093g	16	XVI	XVI	España. Siglo XVI Poeta.	0	0	0	0	España		España	Europa	Baltasar	de	Estazo	M												medium
Felipe II	338g	16	1527	1598	Valladolid. 1527 - El Escorial. 1598 Rey de España y Portugal. Hijo de Carlos I y de Isabel de Portugal.	1	1	1	0	Valladolid	El Escorial	España	Europa	Felipe II			M	88888342	1578	1621	False	False	51	23	10	Felipe III, koning van Spanje en Portugal, 1578 1621		wordpart	low
Ferreira de la Cerda, Bernarda	084g	16	1595	0	Oporto (Portugal). 1595	1	1	1	0	Oporto (Portugal)		Portugal	Europa	Bernarda		Ferreira de la Cerda	F	28765051	1595	1644	False	False	0	1744	1	Bernarda Ferreira la Cerda, 1595 1644	1	exact	high
Fray Damián de Cornejo	414g	16	XVI	XVI	Siglo XVI	0	0	0	0	Palencia		España	Europa	Fray Damián	de	Cornejo	M												medium
Fray Francisco de Castro	201g	16	1572	0	Valencia. 1572 Religioso, poeta y hermano de Guillén de Castro.	1	1	1	0	Valencia		España	Europa	Fray Francisco	de	Castro	M												medium
Fray Luis de León	011g	16	1528	1591	Belmonte (Cuenca). 1528 - Madrigal de las Altas Torres (Ávila). 1591 Aunque estudió en diversas universidades (Alcalá, Toledo) su persona está inseparablemente ligada a la ciudad de Salamanca. Uno de los grandes místicos de la poesía española.	1	1	1	0	Belmonte (Cuenca)		España	Europa	Fray Luis	de	León	M												medium
