poem_id	author_id	author	incipit	title
001g_0001	001g	Aragonés, Joseph	Valencia insigne, patria venturosa,	Con dicciones valencianas y castellanas
001n_0001	001n	Aguilar, Juan de	Donde jamás el sol sus rayos tira	A un avaro
001n_0002	001n	Aguilar, Juan de	Perfecto Libro, que a la Estampa ha dado	Soneto
001n_0003	001n	Aguilar, Juan de	Al verte pobre ya, de amor inmundo,	Soneto
001n_0004	001n	Aguilar, Juan de	Raro Fénix de Amor, que en vivas llamas,	Soneto
001t_0001	001t	Apóstol, Cecilio	En su vida, la más emocionante	MARCELO H. DEL PILAR
001t_0002	001t	Apóstol, Cecilio	—Se los cirios al brillo tremulante.	DOS ENTIERROS
001t_0003	001t	Apóstol, Cecilio	Nada más. De aquel sueño, que pasó como un ala	DE LA VIDA BOHEMIA
001t_0004	001t	Apóstol, Cecilio	Este joven imberbe tiene el don soberano	GARCÍA SANCHIZ
001t_0005	001t	Apóstol, Cecilio	Era un señor de gigantesca traza	MANUEL RAVAGO
002g_0002	002g	Arias Montano, Benito	¿Qué es esto Entendimiento? ¿Qué revuelta	Soneto
002g_0003	002g	Arias Montano, Benito	Quien las graves congojas huir desea,	Soneto
002e_0002	002e	Fernández de Moratín, Leandro	Basta Cupido ya, que a la divina	A Flerida, poetisa
002e_0003	002e	Fernández de Moratín, Leandro	¿Adónde, adónde está, dice el Infante	La noche de Montiel
002e_0004	002e	Fernández de Moratín, Leandro	Siete duros al mes de peluquero,	Por nada, como ves
002e_0005	002e	Fernández de Moratín, Leandro	Nací de honesta madre: diome el Cielo	La despedida
002e_0006	002e	Fernández de Moratín, Leandro	Estos que levantó de mármol duro	A la capilla del Pilar de Zaragoza
002e_0007	002e	Fernández de Moratín, Leandro	Suena confuso y mísero lamento	Julio Bruto
002e_0008	002e	Fernández de Moratín, Leandro	Sabia Polimnia en razonar sonoro	Soneto
002e_0009	002e	Fernández de Moratín, Leandro	Cesa en la octava noche el ronco estruendo	Rodrigo
002n_0005	002n	Betancourt, Isabel Esperanza	Muerte, deidad temida, triunfadora	A la muerte
002t_0006	002t	Balmori, Jesús	aún conservan mis playas su gloriosa silueta,	CRUZ Y ESPADA
002t_0007	002t	Balmori, Jesús	El guerrero español y el Señor boholano	ET INCARNATUS EST.
002t_0008	002t	Balmori, Jesús	El Capitán Salcedo, preso en los dulces ojos	PALIMPSESTO.
