author	aid	normdate	birth	death	raw	hasbirth	hasdeath	hasdates	estimate	place-birth	place-death	country-birth	continent-birth	first-name	preposition-name	second-name	gender	viafid	vf_bi	vf_de	vf_bi_esti	vf_de_esti	birth_diff	death_diff	vf_cand_n	auname_viaf	redo	match_type	vf_validation
Sigüenza y Góngora, Carlos	018n	17.5	1645	1700	México. 1645 - 1700 Representante del barroco y la época colonial. Poeta. Sobrino de Góngora. Perteneció a la Compañía de Jesús.	1	1	1	0	México		México	América	Carlos		Sigüenza y Góngora	M	59112593	1645	1700	False	False	0	0	2	Carlos Siguenza y Gongora, 1645 1700	1	exact	high
Carpio, Manuel	242n	18.5	1791	1861	México. 1791 - 1861 Poeta hallado en Internet.	1	1	1	0	México		México	América	Manuel		Carpio	M	43390035	1791	1860	False	False	0	1	9	Manuel Carpio, 1791 1860		exact	high
Fernández Baeza, Pascual	668n	18.5	1798	1860	1798 - 1860 Poeta hallado en Internet.	1	1	1	0					Pascual		Fernández Baeza	M	32425520	1798	1860	False	False	0	0	8	Pascual Fernandez Baeza 1798 1860		exact	high
Manzano, Juan Francisco	488n	18.5	1797	1857	La Habana (Cuba). 1797 - 1857 Esclavo negro cubano. Poeta	1	1	1	0	La Habana (Cuba)		Cuba	América	Juan Francisco		Manzano	M	69056604	1797	1854	False	False	0	3	3	Juan Francisco Manzano, 1797 1854		exact	high
Olmedo, José Joaquín	380n	18.5	1780	1847	Guayaquil (Ecuador). 1780 - 1847 Diplomático en Londres y París. Poeta hallado en Internet.	1	1	1	0	Guayaquil (Ecuador)		Ecuador	América	José Joaquín		Olmedo	M	68942013	1780	1847	False	False	0	0	5	Jose Joaquin Olmedo, 1780 1847		exact	high
Acuña, Manuel	475n	19	1849	1873	México. 1849 - 1873 Poeta con un trágico destino. Nace en Saltillo, Coahuila, el 27 de agosto de 1849 y se mató en la ciudad de México el día 6 de diciembre de 1873. Estudiante de Medicina, a causa de un desengaño amoroso, se quitó la vida ingiriendo cianuro.	1	1	1	0	México		México	América	Manuel		Acuña	M	39414418	1849	1873	False	False	0	0	6	Manuel Acuna, 1849 1873		exact	high
Aguiló, Mariano	218n	19	1825	1897	Palma de Mallorca. 1825 - 1897 Poeta.	1	1	1	0	Palma de Mallorca		España	Europa	Mariano		Aguiló	M	19773819	1825	1897	False	False	0	0	6	Mariano Aguilo y Fuster		contained	high
Aguiló, Tomás	129n	19	1812	1884	Palma de Mallorca 1812 - 1884 Poeta.	1	1	1	0	Palma de Mallorca		España	Europa	Tomás		Aguiló	M	102338849	1812	1884	False	False	0	0	9	Tomas Aguilo, 1812 1884		exact	high
Alarcón, Pedro Antonio de	404n	19	1833	1891	Guadix (Granada). 1833 - Madrid. 1891 Autor. Periodista. Empezó la carrera de Leyes. Su novela más lograda fue El Escándalo.	1	1	1	0	Guadix (Granada)	Madrid	España	Europa	Pedro Antonio	de	Alarcón	M	44294383	1833	1891	False	False	0	0	1	Pedro Antonio Alarcon, 1833 1891		exact	high
Alonso, Manuel A.	250n	19	1822	1889	San Juan de Puerto Rico. 1822 -1889 Estudió en España la carrera de Medicina en 1842; especializándose en Psiquiatría. Poeta hallado en Internet.	1	1	1	0	Puerto Rico		Puerto Rico	América	Manuel A.		Alonso	M	77508580	1822	1889	False	False	0	0	8	Manuel A. Alonso 1822 1889		exact	high
